???"TABLE_NAME","NUM_ROWS","LAST_ANALYZED"
"REPORT_DEF_LAYOUT","30","2019-07-11 17:19:22"
"WORKFLOW_VALUE_ASSOCIATION","30","2019-07-11 17:19:44"
"LRF_SCHED_EVENT_REPORT","30","2026-05-15 22:00:49"
"LRF_REPORT_AUDIT","30","2026-05-15 22:01:00"
"CLAIM_TYPE","29","2019-07-11 17:18:31"
"C_CARTON_HDR","29","2026-05-15 22:00:46"
"STATS_SNAPSHOT_EVENT_DATA","28","2022-09-07 22:02:39"
"OPT_PARAM","28","2019-08-07 22:01:18"
"IMPORT_FORMATS","28","2019-07-11 17:18:56"
"MESSAGE_MODULE","28","2019-07-11 17:19:07"
"MANIFEST_TYPE","27","2019-07-11 17:19:06"
"DOC_TYPE","27","2019-07-11 17:18:37"
"SOA_FILTER","26","2019-07-11 17:19:30"
"RTS_CRITICAL_FIELD_FV","26","2019-07-11 17:19:25"
"WZ_TMP4","25","2023-06-30 22:00:03"
"CUSTOM_PANEL","24","2026-03-31 22:02:37"
"XBASE_MENU_SECTION_PERMISSION","24","2021-07-16 22:00:45"
"MOVE_TYPE","24","2019-07-11 17:19:09"
"COLOR_CODE_HDR","24","2019-07-11 17:18:33"
"E_SIMULATION_METRIC_PORTLETS","24","2019-07-11 17:18:50"
"CYCLE_COUNT_TRIG","24","2019-08-07 22:01:17"
"ORDER_WMS_STATUS","24","2019-07-11 17:19:13"
"SOA_MODULE_DLL_CPLUSPLUS","24","2019-07-11 17:19:30"
"PUTWY_ZONE_PRTY","23","2021-07-08 22:00:17"
"Z_WZ_LINE","23","2021-06-29 22:01:09"
"IMPORT_MASTER","23","2019-07-11 17:18:56"
"E_METRIC_CONFIGURATION","22","2019-07-11 17:18:47"
"SPL_CODE_ID","22","2021-07-20 22:00:15"
"MOVEMENT_TYPE","21","2019-07-11 17:19:08"
"DATA_LOADER_MESSAGE_TYPE","21","2019-07-11 17:18:35"
"FEDEX_SERVICE_LEVEL","21","2019-07-11 17:18:52"
"CLAIM_ACTION_TYPE","21","2019-07-11 17:18:31"
"E_ELM","20","2019-07-11 17:18:44"
"UI_MENU","20","2019-07-11 17:19:39"
"SO_FULFILL_STATUS","19","2019-07-11 17:19:32"
"SO_LN_FULFILL_STATUS","17","2019-07-11 17:19:32"
"CUSTOM_DISPLAY_DATATYPE","17","2019-07-11 17:18:34"
"DO_STATUS","17","2019-09-26 22:01:41"
"E_EMP_METRIC_HDR","16","2019-07-11 17:18:44"
"SPL_FND_REJECT","16","2023-06-12 22:00:16"
"JMS_LISTENER","15","2019-07-29 22:01:24"
"LISTENER","15","2026-05-16 6:00:17"
"C_SPL_LEAN_REPL_TASK","15","2021-01-18 22:00:16"
"LPN_STATUS","15","2019-07-11 17:19:04"
"SHIPMENT_STATUS","15","2019-07-11 17:19:27"
"E_MSRMNT","15","2019-07-11 17:18:47"
"SALES_ORDERS_STATUS","14","2019-07-11 17:19:26"
"CUSTOM_DISPLAY_TYPE","14","2019-07-11 17:18:35"
"PARCEL_SERVICE_LEVEL","14","2019-07-11 17:19:15"
"QRTZ_PIX_JOB_CONFIG","14","2019-09-02 22:00:12"
"SHIPMENT_WMS_STATUS","14","2019-07-11 17:19:28"
"E_EVNT_ADJ_CODE","14","2019-07-11 17:18:45"
"E_METRIC_IMPLEMENTATION","14","2019-07-11 17:18:47"
"FILTER_OBJECT_MAPPING","14","2019-07-11 17:18:53"
"WM_QUEUE_CLASS","14","2019-07-11 17:19:44"
"CUSTOM_QUICK_FILTER_LAYOUT","13","2024-02-07 22:03:53"
"LRF_PRINT_STATUS","13","2019-07-11 17:19:05"
"OAUTH_CLIENT_DETAILS","13","2019-07-11 17:19:10"
"ACTION_TYPE","13","2019-07-11 17:18:27"
"UI_CONTROL_TYPE","13","2019-07-11 17:19:39"
"UI_TYPE","13","2019-07-11 17:19:40"
"CUSTOM_PAGE","12","2026-03-31 22:02:37"
"UI_CU_DATA_TYPE","12","2019-07-11 17:19:39"
"RE_RULATR_CATNOPER","12","2019-07-11 17:19:23"
