???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"ASN","ASN_PK","UNIQUE","ASN_ID","1"
"ASN","ASN_SHPID_IDX","NONUNIQUE","SHIPMENT_ID","1"
"ASN","ASN_UIDX","UNIQUE","TC_ASN_ID","1"
"ASN","ASN_UIDX","UNIQUE","TC_COMPANY_ID","2"
"ASN","PE_ASN_LIST_IX","NONUNIQUE","TC_COMPANY_ID","1"
"ASN","PE_ASN_LIST_IX","NONUNIQUE","INBOUND_REGION_ID","2"
"ASN","PE_ASN_LIST_IX","NONUNIQUE","OUTBOUND_REGION_ID","3"
"ASN","PE_ASN_LIST_IX","NONUNIQUE","ASN_ORGN_TYPE","4"
"ASN","PE_ASN_LIST_IX","NONUNIQUE","ASN_STATUS","5"
"ASN","TM_ASN_IDX1","NONUNIQUE","ASN_LEVEL","1"
"ASN","TM_ASN_IDX2","NONUNIQUE","ASN_STATUS","1"
"ASN","TM_ASN_IDX3","NONUNIQUE","ASN_TYPE","1"
"ASN","TM_ASN_IDX4","NONUNIQUE","DOCK_DOOR_ID","1"
"ASN","TM_ASN_IDX5","NONUNIQUE","MODE_ID","1"
"ASN","TM_ASN_IDX6","NONUNIQUE","SHIPPING_COST_CURRENCY_CODE","1"
"ASN","TM_ASN_IDX7","NONUNIQUE","TC_COMPANY_ID","1"
"ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","UNIQUE","ASN_ID","1"
"ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","UNIQUE","ATTRIBUTE_NAME","2"
"ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","UNIQUE","ATTRIBUTE_SEQ","3"
"ASN_ATTRIBUTE","TM_ASN_ATTRIBUTE_IDX1","NONUNIQUE","ASN_ID","1"
"ASN_COMMUNICATION_METHOD","ASN_COMM_PK","UNIQUE","ASN_COMMUNICATION_METHOD","1"
"ASN_DETAIL","ASNDTL_SID_IDX","NONUNIQUE","SKU_ID","1"
"ASN_DETAIL","ASN_DETAIL_ID_ASN_ID_IDX","NONUNIQUE","ASN_DETAIL_ID","1"
"ASN_DETAIL","ASN_DETAIL_ID_ASN_ID_IDX","NONUNIQUE","ASN_ID","2"
"ASN_DETAIL","ASN_DETAIL_PK","UNIQUE","ASN_ID","1"
"ASN_DETAIL","ASN_DETAIL_PK","UNIQUE","ASN_DETAIL_ID","2"
"ASN_DETAIL","ASN_DETAIL_TC_PO_IDX","NONUNIQUE","TC_PURCHASE_ORDERS_ID","1"
"ASN_DETAIL","ASN_DETAIL_TC_PO_IDX","NONUNIQUE","TC_COMPANY_ID","2"
"ASN_DETAIL","ASN_DET_ORDLI_IDX1","NONUNIQUE","ORDER_LINE_ITEM_ID","1"
"ASN_DETAIL","ASN_DET_ORD_IDX1","NONUNIQUE","ORDER_ID","1"
"ASN_DETAIL","PE_ASNDLT_PO_IX","NONUNIQUE","PURCHASE_ORDERS_ID","1"
"ASN_DETAIL","PE_ASNDLT_PO_IX1","NONUNIQUE","TC_PURCHASE_ORDERS_ID","1"
"ASN_DETAIL","TM_ASN_DETAIL_IDX1","NONUNIQUE","ASN_DETAIL_STATUS","1"
"ASN_DETAIL","TM_ASN_DETAIL_IDX2","NONUNIQUE","ASN_ID","1"
"ASN_DETAIL","TM_ASN_DETAIL_IDX3","NONUNIQUE","INVENTORY_SEGMENT_ID","1"
"ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","UNIQUE","ASN_ID","1"
"ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","UNIQUE","ASN_DETAIL_ID","2"
"ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","UNIQUE","ATTRIBUTE_NAME","3"
"ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","UNIQUE","ATTRIBUTE_SEQ","4"
"ASN_DETAIL_ATTRIBUTE","TM_ASN_DETAIL_AT_IDX1","NONUNIQUE","ASN_ID","1"
"ASN_DETAIL_ATTRIBUTE","TM_ASN_DETAIL_AT_IDX1","NONUNIQUE","ASN_DETAIL_ID","2"
"ASN_DETAIL_REF","ASN_DETAIL_REF_PK","UNIQUE","ASN_ID","1"
"ASN_DETAIL_REF","ASN_DETAIL_REF_PK","UNIQUE","ASN_DETAIL_ID","2"
"ASN_DETAIL_STATUS","ASN_DT_STATUS_PK","UNIQUE","ASN_DETAIL_STATUS","1"
"ASN_EVENT","ASN_EVENT_PK","UNIQUE","ASN_EVENT_ID","1"
"ASN_EVENT","ASN_EVENT_PK","UNIQUE","ASN_ID","2"
"ASN_LEVEL","ASN_LEVEL_PK","UNIQUE","ASN_LEVEL","1"
"ASN_NOTE","ASN_NOTE_IDX2","NONUNIQUE","ASN_DETAIL_ID","1"
"ASN_NOTE","ASN_NOTE_PK","UNIQUE","ASN_ID","1"
"ASN_NOTE","ASN_NOTE_PK","UNIQUE","NOTE_ID","2"
"ASN_NOTE","TM_ASN_NOTE_IDX1","NONUNIQUE","ASN_ID","1"
"ASN_RECEIVED_CODES","PK_ASN_RECEIVED_CODES","UNIQUE","SHPMT_NBR","1"
"ASN_REF","ASN_REF_PK","UNIQUE","ASN_ID","1"
"ASN_SEAL_NUMBER","ASN_SEAL_NUMBER_PK","UNIQUE","ASN_ID","1"
"ASN_SEAL_NUMBER","ASN_SEAL_NUMBER_PK","UNIQUE","SEAL_ID","2"
"ASN_SEAL_NUMBER","TM_ASN_SEAL_NUMB_IDX1","NONUNIQUE","ASN_ID","1"
"ASN_STATUS","ASN_STATUS_PK","UNIQUE","ASN_STATUS","1"
"ASN_TYPE","ASN_TYPE_PK","UNIQUE","ASN_TYPE","1"
"ASN_UNIT_DETAIL","ASN_UNIT_DETAIL_PK","UNIQUE","ASN_UNIT_ID","1"
"ASN_UNIT_DETAIL","ASN_UNI_ASN_I_IDX1","NONUNIQUE","ASN_ID","1"
"AUDIT_FIELD_NAME","AUDIT_FIELD_NAME_PK","UNIQUE","AUDIT_FIELD_NAME","1"
"AUTOMATION","IDX_AUTOMATION_BR_HDR_ID","NONUNIQUE","BR_HDR_ID","1"
"AUTOMATION","MOVE_HRD","NONUNIQUE","MOVE_HDR_ID","1"
"AUTOMATION","PK_AUTOMATION","UNIQUE","AUTO_ID","1"
"AUTO_CREATE_RULE","AUTO_CREATE_RULE_FI_CFK_INDX","NONUNIQUE","FACILITY_ID","1"
"AUTO_CREATE_RULE","AUTO_CRT_PK","UNIQUE","AUTO_CREATE_ID","1"
"AUTO_CREATE_RULE","TM_AUTO_CREATE_R_IDX1","NONUNIQUE","DATE_TYPE","1"
"AUTO_CREATE_RULE","TM_AUTO_CREATE_R_IDX2","NONUNIQUE","DSG_CARRIER_ID","1"
