???"FROM_TABLE","FROM_COLUMN","TO_TABLE","TO_COLUMN","CONSTRAINT_NAME"
"DOCK_DOOR_REF","SHIPMENT_ID","SHIPMENT","SHIPMENT_ID","DOCK_DOOR_REF_SHIPMENT_FK"
"DOCUMENT","DOCUMENT_FORMAT_TYPE","DOCUMENT_FORMAT_TYPE","DOCUMENT_FORMAT_TYPE","DOCUMENT_FK4"
"DOCUMENT","DOCUMENT_TYPE","DOCUMENT_TYPE","DOCUMENT_TYPE","DOCUMENT_FK2"
"DOCUMENT","DOCUMENT_STATUS","DOCUMENT_STATUS","DOCUMENT_STATUS","DOCUMENT_FK3"
"DOCUMENT_DESCRIPTOR","DOCUMENT_EVENT_TYPE","DOCUMENT_EVENT_TYPE","DOCUMENT_EVENT_TYPE","DOCUMENT_DESC_FK5"
"DOCUMENT_DESCRIPTOR","DOCUMENT_TYPE","DOCUMENT_TYPE","DOCUMENT_TYPE","DOCUMENT_DESC_FK3"
"DOCUMENT_DESCRIPTOR","XML_TRANSLATOR_TYPE","XML_TRANSLATOR_TYPE","XML_TRANSLATOR_TYPE","DOCUMENT_DESC_FK1"
"DOCUMENT_DESCRIPTOR","DOCUMENT_GENERATOR_TYPE","DOCUMENT_GENERATOR_TYPE","DOCUMENT_GENERATOR_TYPE","DOCUMENT_DESC_FK4"
"DOC_DELIVERY","DOCUMENT_TYPE","DOCUMENT_TYPE","DOCUMENT_TYPE","DOC_DEL_FK3"
"DOC_DELIVERY_DTL","DOC_DELIVERY_ID","DOC_DELIVERY","DOC_DELIVERY_ID","DOC_DEL_DTL_FK1"
"DO_LINE_CLASSIFICATION_CODE","LINE_ITEM_ID","ORDER_LINE_ITEM","LINE_ITEM_ID","DO_LINE_CLSCODE_FK1"
"DO_LINE_CLASSIFICATION_CODE","ORDER_ID","ORDERS","ORDER_ID","DO_LINE_CLSCODE_FK3"
"DO_LINE_CLASSIFICATION_CODE","CLASSIFICATION_CODE_ID","CLASSIFICATION_CODE","CLASSIFICATION_CODE_ID","DO_LINE_CLSCODE_FK2"
"DO_LINE_CLS_CODE_TEMPLATE","CLASSIFICATION_CODE_ID","CLASSIFICATION_CODE","CLASSIFICATION_CODE_ID","DO_LINE_CLS_CODE_TEMPLATE_FK2"
"DO_LINE_CLS_CODE_TEMPLATE","ORDER_ID","ORDER_LINE_ITEM_TEMPLATE","ORDER_ID","DO_LINE_CLS_CODE_TEMPLATE_FK1"
